common_name,first_observation,location,region
Red-winged Blackbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
California Towhee,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
House Finch,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
House Sparrow,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Western Bluebird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Northern Mockingbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
European Starling,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Barn Swallow,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Violet-green Swallow,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Oak Titmouse,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
California Scrub-Jay,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
American Kestrel,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Red-tailed Hawk,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Anna's Hummingbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Eurasian Collared-Dove,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Turkey Vulture,19 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
Bullock's Oriole,14 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
Yellow-billed Magpie,14 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
Killdeer,14 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
Mourning Dove,14 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
California Condor,14 Apr 2024,Pinnacles NP--Old Bacon Ranch,US-CA
Indian Peafowl,26 Jun 2025,Ed Levin CP--Spring Valley area,US-CA
Northern Red Bishop,23 Aug 2024,Almaden Lake Park,US-CA
Muscovy Duck,08 Jun 2024,American River Parkway--Sailor Bar,US-CA
